flavor,bT,q16,central,q84
u,0.9,5.367086451556901,5.372385139107985,5.380634186131503
u,0.925,5.276396103455723,5.2822275777130026,5.291369739735092
u,0.95,5.188464200079274,5.1948325492535306,5.204965946135886
u,0.975,5.104601121144533,5.111484047941207,5.122665586764752
u,1.0,5.025511092035382,5.032917933855211,5.045269562851087
u,1.025,4.951515761454045,4.959384536091868,4.972996373369497
u,1.05,4.88248845881265,4.890815942799934,4.905781433034007
u,1.075,4.817933303542602,4.8269546396760505,4.843241659108451
u,1.1,4.757472962234019,4.767203033224019,4.784919312892204
u,1.125,4.700574980762119,4.710960450265235,4.73014593791541
u,1.15,4.646523864502321,4.657745125177616,4.67835940450717
u,1.175,4.594896683834103,4.606879607536122,4.62905199263438
u,1.2000000000000002,4.5448564256689705,4.557714744522465,4.5814958944598825
u,1.225,4.496010221519024,4.509733814451039,4.535111259046671
u,1.25,4.4478575802855325,4.462427680659301,4.4893040613081645
u,1.275,4.400053570563127,4.4154182263789075,4.443774224126339
u,1.3,4.351998309160283,4.368277667852675,4.39801702665002
u,1.3250000000000002,4.303461189216525,4.3206265304513005,4.3516160135570185
u,1.35,4.2539484354302175,4.272108974805354,4.304450031707244
u,1.375,4.20333928185325,4.222609148234319,4.256108068249345
u,1.4,4.151690153576427,4.171811227511112,4.206254780679589
u,1.425,4.0986364893455365,4.119477528823666,4.154947196948522
u,1.4500000000000002,4.043979725996286,4.065552155221842,4.102114231731808
u,1.475,3.9876783864266705,4.009889088122662,4.047341881777681
u,1.5,3.9297540295995694,3.9525371319973894,3.990416231216999
u,1.525,3.8701382236140844,3.893415014668916,3.9310092556638883
u,1.55,3.8087145826659645,3.8324518929636042,3.87028718580729
u,1.5750000000000002,3.745630981584258,3.769811289793454,3.806948167876101
u,1.6,3.6809236128926326,3.705511669267887,3.7413343475278027
u,1.625,3.614591792332079,3.639564245185996,3.6745337429524705
u,1.65,3.547067907950156,3.571840163061156,3.606115859377977
u,1.675,3.4782662927737427,3.5025359514834395,3.5362855147523145
u,1.7000000000000002,3.408264998731167,3.4319028099664393,3.4640411130420947
u,1.725,3.337614719810325,3.3606415900381394,3.390661579682144
u,1.75,3.2658056009835454,3.2879875252415935,3.315710143797256
u,1.775,3.1933682957349476,3.2148648996873854,3.241314748995913
u,1.8,3.120230766655199,3.1408057962713025,3.1664651315323797
u,1.825,3.0469480200672003,3.066304290884568,3.091196884407951
u,1.85,2.9729155561669236,2.9914739870033022,3.0172172571285136
u,1.875,2.8973496162622814,2.917436821024226,2.9443930356457235
u,1.9,2.821396856503341,2.844492752334676,2.8732740994287256
u,1.925,2.745492496674625,2.7727715460185403,2.8030983172563517
u,1.95,2.6700640534082396,2.7022654534201584,2.7339624640161486
u,1.975,2.5949342584444826,2.632577362867697,2.6667959826529093
u,2.0,2.5214167413508135,2.5648265518008273,2.601247293495135
u,2.025,2.4494600631043446,2.4982603453314915,2.5369736012167725
u,2.0500000000000003,2.378773429384214,2.4335711916624883,2.4745636525093504
u,2.075,2.3095604023435357,2.3710384689082944,2.4142039373691295
u,2.1,2.2424096704053302,2.3098328937887254,2.3558989876513294
u,2.125,2.1766166540772187,2.250768129934702,2.299782525676193
u,2.15,2.113274043433339,2.193791193533153,2.2455032113340705
u,2.1750000000000003,2.0511427916020755,2.1387600587377484,2.1930389371846712
u,2.2,1.9915705727785324,2.08627177819986,2.1432174393407575
u,2.225,1.9349710652801804,2.036077233611767,2.095219715451768
u,2.25,1.879868345464164,1.9883368817214264,2.04912859186218
u,2.275,1.8274910494355154,1.9422456735724034,2.005364056076035
u,2.3000000000000003,1.7779551714120412,1.8986438756958846,1.963592222130981
u,2.325,1.7298509500822703,1.8569928127172288,1.9242431125333552
u,2.35,1.6843958835163033,1.817657122310131,1.8876225759208103
u,2.375,1.641691743055213,1.780702173939586,1.852124278919961
u,2.4000000000000004,1.6009520769837509,1.7455655242650072,1.8188077729951981
u,2.4250000000000003,1.5630811653108434,1.7126720764386707,1.7874615065215615
u,2.45,1.5269127381068799,1.6815629756432875,1.7580924826547661
u,2.475,1.4931251956788754,1.6523123158278141,1.7302491250384515
u,2.5,1.4614708771700484,1.6245692935279645,1.7041223669259147
u,2.5250000000000004,1.4314604248085256,1.598658267470637,1.6796026986885793
u,2.5500000000000003,1.4039034190649897,1.5744619091609993,1.6569231529960866
u,2.575,1.3786121996308338,1.5521524741991695,1.636372165962894
u,2.6,1.3535759237190885,1.5313124387505428,1.6169810742073785
u,2.625,1.3310306693236045,1.5118462720157049,1.598637545372838
u,2.6500000000000004,1.3102765130957863,1.493844183764516,1.5817195388572045
u,2.6750000000000003,1.2903334401707156,1.4768465978574972,1.5660334357183838
u,2.7,1.2725077830967206,1.461069378417699,1.5514907918048626
u,2.725,1.2561912494169312,1.4463560736980212,1.537996874850641
u,2.75,1.2408149438389442,1.4327121900588549,1.5256994466555902
u,2.7750000000000004,1.2264377936523676,1.4200738879717076,1.5144274217273144
u,2.8000000000000003,1.2133203942283308,1.4085086840980785,1.5038247635896012
u,2.825,1.2013012640869976,1.3978162842323507,1.493986334889381
u,2.85,1.1894345571852554,1.3877249118876696,1.4845318025668153
u,2.875,1.1791137476714892,1.3785911302952791,1.475733987313079
u,2.9000000000000004,1.1694256171713606,1.3699332604444399,1.4677968761940992
u,2.9250000000000003,1.1608308793846052,1.361786011700101,1.4603540852259613
u,2.95,1.1525611700292624,1.3542242122240709,1.4531477125600787
u,2.975,1.1445258736849806,1.3471616616554702,1.4463549761954764
u,3.0,1.1368305452459146,1.3403664326357734,1.4399976796165461
u,3.0250000000000004,1.130061794138121,1.333776623381981,1.434110361378162
u,3.0500000000000003,1.1238178298391823,1.3276781169290177,1.428126987004527
u,3.075,1.1178867757871058,1.3217835540049503,1.4223785379803568
u,3.1,1.1121594370141474,1.3161104866473328,1.4167274105021517
u,3.125,1.1060655646287645,1.3103969131496087,1.4111267411930195
u,3.1500000000000004,1.100552454742811,1.304797660127626,1.405454226437313
u,3.1750000000000003,1.095060396726767,1.299095603211271,1.39955291440677
u,3.2,1.0896012652998996,1.2933503211934676,1.393634354606889
u,3.225,1.0839953970588823,1.2875141913802515,1.3874854660527423
u,3.25,1.0785075641835453,1.2814675340070205,1.3811504494337146
u,3.2750000000000004,1.0729251305360976,1.2751897680871225,1.3746721363319014
u,3.3000000000000003,1.0672110470602523,1.2687368758674948,1.367997288761531
u,3.325,1.0613501390003937,1.2620666362425186,1.3608217622088628
u,3.35,1.0551775605145497,1.2549890171755629,1.3535469526962005
u,3.375,1.0488773034546577,1.2476754240010743,1.3458613294374446
u,3.4000000000000004,1.0423890403855938,1.240172843071763,1.3378472762395421
u,3.4250000000000003,1.0356636836191155,1.2324533521922114,1.329512504667722
u,3.45,1.028703007402776,1.2242718310824658,1.3207868887904093
u,3.475,1.0212790196334598,1.2156000385919834,1.3116657083587866
u,3.5,1.0137611137105813,1.206724355208003,1.302138194845163
u,3.5250000000000004,1.0059891329958934,1.197488206464893,1.292227810287141
u,3.5500000000000003,0.9978285602888433,1.1878132170335047,1.2819100320370334
u,3.575,0.9893301415920286,1.177821764178804,1.271195860763899
u,3.6,0.9806185451734049,1.167530888212419,1.2600459909358908
u,3.625,0.9716836147172745,1.1568355250157163,1.248511363457486
u,3.65,0.9624830310627897,1.145801619179742,1.2366652307913715
u,3.675,0.9529066075702858,1.1345120872766172,1.2244918878541053
u,3.7,0.9430882823011161,1.1229359554033216,1.211987058047085
u,3.725,0.9330311498025345,1.1110838568960122,1.199210954843973
u,3.75,0.9227541882104678,1.0988949193129747,1.1861410411483495
u,3.775,0.9122694184716569,1.086439455088196,1.1727887225160796
u,3.8,0.9015891880837328,1.073776070553099,1.1591170303051779
u,3.825,0.8907402277802513,1.060918861330336,1.1451828805078903
u,3.85,0.8797561234149066,1.0478320539929906,1.1310385001181011
u,3.875,0.8686919724874328,1.034608047531822,1.1167050074021554
u,3.9,0.8575075744316444,1.0212024777997588,1.1022241662166121
u,3.925,0.8461814198272227,1.0076526688395304,1.0876157131767912
u,3.95,0.8347653633916873,0.994014891064493,1.0728940627245693
u,3.975,0.8232846150420289,0.9802943622170622,1.0580932021655045
u,4.0,0.811671676261251,0.96653226264798,1.0432241085871472
u,4.025,0.7999700728855564,0.9527234720651571,1.028353263483556
u,4.05,0.7883380400087936,0.9388842296293871,1.0134352514519418
u,4.075,0.7767200763440917,0.9250319330501042,0.9984730143598107
u,4.1000000000000005,0.7651134054361326,0.9111802095686674,0.9835221293356229
u,4.125,0.7535211725283247,0.8973669198448404,0.9685978789829948
u,4.15,0.7419149192557457,0.8835323126299519,0.9536586417414926
u,4.175,0.7303476627331312,0.869694554078241,0.93876992861137
u,4.2,0.7188248787260224,0.8558844054300154,0.9239507129296023
u,4.2250000000000005,0.7073550670101573,0.842214888231432,0.9091725273646925
u,4.25,0.6959465628548335,0.82864245831451,0.8944130234058477
u,4.275,0.6845792321909612,0.8151293271789326,0.87979515611155
u,4.3,0.6732542668314052,0.8016943312716018,0.8652822912253727
u,4.325,0.662011530592083,0.7883088121337727,0.8508690373103442
u,4.3500000000000005,0.6508848034752889,0.7750717079033553,0.8365568780392504
u,4.375,0.6398601786938775,0.7618873114936311,0.8223362880613595
u,4.4,0.6289413232240916,0.7488249426445075,0.8082395805592608
u,4.425,0.6180794499979918,0.7358999408082225,0.7943228995374504
u,4.45,0.6073119082670289,0.7231016217458851,0.7805302162762482
u,4.4750000000000005,0.5966554738447086,0.7104731861824328,0.7668554707873434
u,4.5,0.5861183748086783,0.6979738923122443,0.7533146562453424
u,4.525,0.5756934137219429,0.6855765172822398,0.7399540042944064
u,4.55,0.5653862335195593,0.6733104171062585,0.7267253295006867
u,4.575,0.5552417751809638,0.6611547122654855,0.7136621534389772
u,4.6000000000000005,0.5452011400631697,0.6491429188808508,0.7007553181870431
u,4.625,0.5352355371589921,0.6373311170677326,0.6880112760978357
u,4.65,0.5254322501272619,0.6256595204131634,0.6754124403168972
u,4.675,0.5157576050027308,0.6141469067187652,0.6629625707513748
u,4.7,0.5062069100151847,0.6027575716539215,0.6506536849548331
u,4.7250000000000005,0.49677795001014474,0.5914867831846118,0.6385061482873657
u,4.75,0.4874772581719782,0.5803516975068814,0.6265224475320285
u,4.775,0.4783091057041783,0.5693867133687439,0.6147048041443121
u,4.800000000000001,0.4692447450366839,0.5585501333607392,0.6030285753225819
u,4.825,0.46026222791574173,0.5478914641093873,0.5914926598203007
u,4.8500000000000005,0.45140311290282514,0.5373984486319464,0.5800958291328504
u,4.875,0.44266955923155143,0.5270453451653926,0.5688822531996077
u,4.9,0.4340861252830302,0.5168351724937703,0.5578274016271118
u,4.925000000000001,0.4256462309355242,0.5067670875196815,0.5469323283789617
u,4.95,0.4173172554278551,0.4968151327136997,0.5362028067817108
u,4.9750000000000005,0.4090883510100542,0.48699995279167996,0.5256132171922371
u,5.0,0.40098001708293407,0.4773471965414746,0.5151807075218692
u,5.025,0.39299526059524786,0.467830396746133,0.504900715015355
u,5.050000000000001,0.3851336744349097,0.4584412071549443,0.4947824026771788
u,5.075,0.3773915003153119,0.4492023363782736,0.4848201566179262
u,5.1000000000000005,0.36976617356114344,0.44014660749090195,0.47501172940598035
u,5.125,0.36225325524701396,0.43121889203873687,0.4653579086963821
u,5.15,0.35488227811304335,0.42242167055276497,0.45585620317363174
u,5.175000000000001,0.3476293303536428,0.4137732966171426,0.4464906002892508
u,5.2,0.34048948095188575,0.40523576414884116,0.43727436192607144
u,5.2250000000000005,0.3334632384186605,0.3968121075686333,0.4281966278644234
u,5.25,0.32654760681572986,0.38853636988252005,0.419252126259487
u,5.275,0.31972341714512054,0.380387395655623,0.4104359082112516
u,5.300000000000001,0.31301015241793034,0.3723544988664794,0.4017828707436997
u,5.325,0.3064139835125803,0.3644585536185607,0.39326931637557755
u,5.3500000000000005,0.2999242925833879,0.3566962730077023,0.3848955272204083
u,5.375,0.293527991648067,0.3490702919179955,0.376660320689281
u,5.4,0.2872286033281473,0.34157235347263004,0.3685715787768643
u,5.425000000000001,0.2810048556207759,0.33419248522315614,0.36062293834291753
u,5.45,0.2748887457087778,0.32695480710256164,0.3528180567700872
u,5.4750000000000005,0.26888186040421846,0.319846850761737,0.34514519695162077
u,5.5,0.26302040242861396,0.31284347692026454,0.33761364186969983
u,5.525,0.2572622907007307,0.30598901486515007,0.33021294424488357
u,5.550000000000001,0.2515973909620228,0.29925275851161515,0.32293529866104165
u,5.575,0.24601111148480978,0.2926338405820273,0.3157814527571229
u,5.6000000000000005,0.24052385728912676,0.2861325983973522,0.3087550139461753
u,5.625,0.23514461529663688,0.2797345517344781,0.301853944022906
u,5.65,0.2298694035513279,0.2734329384733124,0.2950771081620967
u,5.675000000000001,0.2246983203147524,0.2672684881714702,0.2884218988807912
u,5.7,0.219619280063571,0.2612041529265235,0.28188772042559357
u,5.7250000000000005,0.21463264267005935,0.2552502289482613,0.27547559718146103
u,5.75,0.20974323490459199,0.24940407311549173,0.26918717880599563
u,5.775,0.20494477666204486,0.2436688035169492,0.2630143667845746
u,5.800000000000001,0.20023619416614655,0.23804484146626265,0.2569555635925771
u,5.825,0.1956005078070617,0.23252623926701743,0.25100645614735406
u,5.8500000000000005,0.1910286135770678,0.22712546228745584,0.24516564059949666
u,5.875,0.18654051243440792,0.2218215357008859,0.23942377429666678
u,5.9,0.18215972708284142,0.21662591450784924,0.2338066061575424
u,5.925000000000001,0.17785832064536888,0.2115382033658526,0.22830578205675509
u,5.95,0.17364404810522183,0.2065449587943273,0.22290668498435526
u,5.9750000000000005,0.16951780386142945,0.20164704801453093,0.217628158695872
u,6.0,0.1654918267590459,0.19684787623187433,0.21246421675704713
u,6.025,0.16154637428687962,0.19214441311319502,0.20737624622429657
u,6.050000000000001,0.1576793498881645,0.18753954579523646,0.2023892817522196
u,6.075,0.1538889763643622,0.18302488444058373,0.1975058556693633
u,6.1000000000000005,0.15016649076743643,0.17859946842029067,0.1927366611616438
u,6.125,0.14651946849033728,0.17425793381741825,0.18806165576203082
u,6.15,0.1429437292314204,0.17000752667503938,0.1834805600419747
u,6.175000000000001,0.13944065162230812,0.1658399354333231,0.1789942876445904
u,6.2,0.13600973805176042,0.16175760962500513,0.17460110654415614
u,6.2250000000000005,0.13265689442504344,0.1577685843702617,0.1702983152045531
u,6.25,0.12938500916897888,0.1538702529889188,0.1660829958292793
u,6.275,0.12618371913353624,0.15004876139546347,0.1619577668670978
u,6.300000000000001,0.1230525861629004,0.14630061348139822,0.1579155032215683
u,6.325,0.11998562092800065,0.14263553522221809,0.15397042615761333
u,6.3500000000000005,0.11697625127337839,0.13905380968210904,0.15010029961253027
u,6.375,0.11403022074573971,0.13555013524852905,0.14631800286293328
u,6.4,0.11113536392450848,0.1321145756018992,0.14259796266970062
u,6.425000000000001,0.10830264432203479,0.12875352177438532,0.1389563809829493
u,6.45,0.10553074621626246,0.12546345142282966,0.1353943035150392
u,6.4750000000000005,0.10281946063875055,0.12224073752447126,0.13192824973047887
u,6.5,0.10016795795696289,0.11909001468189159,0.12852825188228767
u,6.525,0.09757499384880387,0.11600925690888395,0.12520377235926608
u,6.550000000000001,0.09503983577496937,0.1129983955206022,0.12195019120972682
u,6.575,0.09256485966684785,0.11005761692649565,0.1187835932522405
u,6.6000000000000005,0.09014613952777895,0.10718726329679781,0.11569151227251336
u,6.625,0.08778611469002455,0.10438138274367437,0.11265435035772386
u,6.65,0.08547651881678281,0.10163404125621825,0.10968249610179927
u,6.675000000000001,0.08321958109592932,0.09894395243611305,0.1067894928113979
u,6.7,0.08101442969999664,0.0963154402802455,0.10396386060943857
u,6.7250000000000005,0.07886019102777289,0.09374748168016,0.10120351965094904
u,6.75,0.07675565550910447,0.09124091496383124,0.09850385070106235
u,6.775,0.07469978570635373,0.08879450562659,0.0958627776102601
u,6.800000000000001,0.07269181008820448,0.08640310679723961,0.0932828550789672
u,6.825,0.07073068533462258,0.08406946956436115,0.09076369287891392
u,6.8500000000000005,0.06881470092532099,0.08178396567113336,0.08830149450741291
u,6.875,0.0669416826470222,0.07954769762615141,0.08589697306016256
u,6.9,0.06511345513358982,0.07736844656747915,0.08355329829515178
u,6.925000000000001,0.06333217029981077,0.07524341711791019,0.08126830620141702
u,6.95,0.061593208930882604,0.07317751078418344,0.07903815875092882
u,6.9750000000000005,0.05989627847402382,0.07115858548019735,0.07686102864561628
u,7.0,0.058242741587928755,0.0691868471125349,0.07473656465536838
u,7.025,0.05662937556046098,0.06726561074922015,0.07266345862415821
u,7.050000000000001,0.0550525500219784,0.0653918207776115,0.07063570538547677
u,7.075,0.05351282486081609,0.06356513745783035,0.06866013707626178
u,7.1000000000000005,0.05201063711049615,0.06178034125144155,0.06673587206666493
u,7.125,0.05054704631932459,0.060036915442082,0.06485588260497184
u,7.15,0.049120343603732894,0.058338808768042504,0.06301748440650422
u,7.175000000000001,0.047727319517207684,0.0566826193465271,0.061228531082373736
u,7.2,0.0463688448777904,0.0550724379112032,0.05947989063182848
u,7.225,0.04504538065044278,0.0535026219549052,0.05778138039048364
u,7.25,0.04375650854041178,0.05197236796025125,0.05612780253906478
u,7.275,0.04249583732658907,0.05048004281719595,0.0545158960117361
u,7.300000000000001,0.04126996987617462,0.04902179475456245,0.05294374264037116
u,7.325,0.0400770028937523,0.047598844010684455,0.051407899182839494
u,7.35,0.03891309552286047,0.0462189237641001,0.049917896721862955
u,7.375,0.037776595496319794,0.044873766947923804,0.04846734126074567
u,7.4,0.03666872141774357,0.04355801670066535,0.047052218522383144
u,7.425000000000001,0.03559254295339808,0.0422789544427792,0.04566924717053782
u,7.45,0.034544718144821726,0.04103271955742635,0.04432197439184361
u,7.475,0.033524947678487994,0.0398179492468306,0.04301127720956069
u,7.5,0.03253202046770235,0.03863627257200405,0.041737651473365125
u,7.525,0.031565371620181734,0.037487039149606,0.04049556040737999
u,7.550000000000001,0.03062439986779312,0.03637008771336605,0.03928956231493533
u,7.575,0.029708489816623287,0.03527881936245765,0.03811324533070284
u,7.6,0.02881711012012278,0.0342174883360453,0.03697077108783058
u,7.625,0.027949682715346515,0.033187276860478745,0.03585766237875675
u,7.65,0.027105667980960303,0.0321850043381573,0.0347739253912286
u,7.675000000000001,0.026284266578314973,0.0312086248458157,0.03372113137060004
u,7.7,0.02548443364352557,0.03025838779643175,0.032698565095350456
u,7.725,0.0247083010135015,0.02933293785248975,0.031703766010215
u,7.75,0.02395327422199087,0.02843562596908,0.030733803723923057
u,7.775,0.023218442646129198,0.02756317883594825,0.029790826688485515
u,7.800000000000001,0.02250476032633333,0.02671634574843365,0.028874118370243056
u,7.825,0.021810750824533164,0.025893390707052003,0.02798510065759814
u,7.85,0.021136708719450708,0.025092573710302952,0.027120005295462445
u,7.875,0.020481319171540904,0.02431130867459355,0.026276919418384406
u,7.9,0.019843766627131235,0.023553737612982503,0.02545923848346418
u,7.925000000000001,0.019223063046150093,0.022817075135371852,0.02466594523687152
u,7.95,0.01862076952847556,0.0221010030419176,0.02389267252246914
u,7.975,0.018035362248086217,0.021405885878928752,0.023142894029213518
u,8.0,0.01746697876734008,0.0207310830393756,0.022413114800518993
d,0.0,3.845841801692436,3.845841801692436,3.845841801692436
d,0.025,3.845840082376967,3.8458410783086294,3.8458417589756193
d,0.05,3.845835006582286,3.845838826527677,3.8458404464953966
d,0.075,3.845839655059362,3.845848097788244,3.8458520727538468
d,0.1,3.847056752239875,3.847071306933645,3.847078641798702
d,0.125,3.8844954155178923,3.8845183105465955,3.8845305819649147
d,0.15,3.940767157426317,3.940800217447917,3.9408192725646622
d,0.175,3.9813672113584744,3.98141282664026,3.981440360147321
d,0.2,4.009604477548163,4.009665396825113,4.009703806238323
d,0.225,4.0310447535519645,4.0311250418940245,4.031176802783644
d,0.25,4.043516149439712,4.043618920944225,4.043686460805632
d,0.275,4.050109128636638,4.0502398836624645,4.050326679294969
d,0.3,4.052499247662023,4.0526619464830524,4.052772017265619
d,0.325,4.051166133583653,4.051361919567054,4.051499106724445
d,0.35,4.046790170593273,4.047023583974665,4.047194522148907
d,0.375,4.039883178789161,4.0401592157791235,4.040368643219344
d,0.4,4.03085591335237,4.0311809551799485,4.031435080667921
d,0.425,4.020033960969239,4.020410979267723,4.020719711234961
d,0.45,4.007712369049318,4.0081452060862715,4.008517953513413
d,0.475,3.9941033126875802,3.994595808429811,3.9950410359807904
d,0.5,3.9794087082741934,3.979969516003797,3.980503999229772
d,0.525,3.9637951396219053,3.964422504510387,3.9650566303319055
d,0.55,3.9473866243784745,3.9480984798430674,3.948850216308001
d,0.5750000000000001,3.93030523202038,3.9311133365307063,3.93200189657305
d,0.6000000000000001,3.912669011083952,3.913590613696177,3.9146367075787465
d,0.625,3.894566086491804,3.895608854179286,3.8968359056207795
d,0.65,3.876069663608048,3.877256693516242,3.878696113099586
d,0.675,3.8572907674704258,3.8586250706366663,3.860300078627465
d,0.7000000000000001,3.8382877402227664,3.839783470704484,3.8417338307207562
d,0.7250000000000001,3.819112859280767,3.820788348813508,3.8230476123803903
d,0.75,3.799940861102707,3.8018186992577285,3.804425594799597
d,0.775,3.7801417027425424,3.7822459681075324,3.785237967399157
d,0.8,3.7485527645327075,3.7509013087349077,3.754316168935679
d,0.8250000000000001,3.7051308784293364,3.707733734934711,3.711605958448023
d,0.8500000000000001,3.653924831252448,3.656808194372924,3.661159380707974
d,0.875,3.5982585780584633,3.601432007406417,3.606306785253381
d,0.9,3.540764668792229,3.5442603094608103,3.54970235600053
d,0.925,3.483433707828849,3.4872835996102562,3.4933191804737405
d,0.95,3.427709831116279,3.4319170208030165,3.4386115536699333
d,0.975,3.3745047766797858,3.3790548813405996,3.386446674602249
d,1.0,3.3243197251536043,3.3292192686849624,3.3373897339683527
d,1.025,3.2773941831668623,3.2826025026934618,3.291612139028098
d,1.05,3.233663809700867,3.2391790881951645,3.2490907069470754
d,1.075,3.1928138746985586,3.198792256996631,3.209585561582857
d,1.1,3.154603619130711,3.161055472331584,3.172802851749699
d,1.125,3.1186862284280896,3.125576666480389,3.138305644608629
d,1.15,3.0845909970693755,3.0920402216217804,3.1057249937837814
d,1.175,3.0520396156765237,3.0599989584793468,3.0747263837840335
d,1.2000000000000002,3.0204775873853795,3.0290231299220105,3.0448279043000364
d,1.225,2.989644481381995,2.9987700531339363,3.0156449118306043
d,1.25,2.959207853131642,2.9689014988180675,2.986782646144454
d,1.275,2.9289383600210708,2.9391659922727404,2.9580414373570347
d,1.3,2.8984366908406782,2.9092787654890224,2.929085218198084
d,1.3250000000000002,2.867549106486979,2.878986983292669,2.8996363770441373
d,1.35,2.835946433112058,2.8480533774359147,2.8696139361394697
d,1.375,2.803547943880557,2.8164005809505013,2.838743728156295
d,1.4,2.7703912687340515,2.7838179083637424,2.8068018294735393
d,1.425,2.736233295051841,2.750146689487231,2.7738260977831284
d,1.4500000000000002,2.7009415294244694,2.715349581376688,2.7397690981742002
d,1.475,2.6644883970116244,2.6793291517625333,2.7043543730715385
d,1.5,2.6268885622198477,2.6421181849010456,2.66743889753031
d,1.525,2.588096659199427,2.6036626627076007,2.628803245266268
d,1.55,2.5480352700425564,2.5639155631287336,2.5892274258387555
d,1.5750000000000002,2.506803799514739,2.522986730719192,2.547840985593046
d,1.6,2.4644271006549885,2.4808891299868048,2.504872887436311
d,1.625,2.420905414420239,2.437630939679729,2.46105207582628
d,1.65,2.376529176011767,2.3931265427819226,2.416091198220989
d,1.675,2.3312420338452906,2.347508312436055,2.37012831731601
d,1.7000000000000002,2.285097327801913,2.3009454790779778,2.3224928501027087
d,1.725,2.2384654567442577,2.253909076787025,2.2740428296228656
d,1.75,2.191005769114187,2.205887464462128,2.22448637223916
d,1.775,2.1430754429623833,2.1575018541280127,2.17525239752724
d,1.8,2.0946274818439394,2.1084396084770733,2.125664856486956
d,1.825,2.0460358579586684,2.0590336590067544,2.0757491193989233
d,1.85,1.9968961007394193,2.009361728327169,2.026653385208132
d,1.875,1.9466827918701168,1.960179062954341,1.97829051172224
d,1.9,1.896167273383894,1.9116892591420886,1.9310322481717417
d,1.925,1.8456434328106508,1.8639816356416166,1.8843686540877467
d,1.95,1.7954002352905396,1.8170530496057187,1.8383667031899484
d,1.975,1.7453201087542698,1.7706383868154472,1.793653399627659
d,2.0,1.696288303889824,1.725492343243106,1.7499944722017442
d,2.025,1.6482722842222377,1.6811106039273929,1.707161237562481
d,2.0500000000000003,1.601078290120279,1.637960956811923,1.6655517051823998
d,2.075,1.5548451119850344,1.5962334520325647,1.625293362124014
d,2.1,1.5099709200438116,1.5553716815496883,1.5863911973190652
d,2.125,1.4659831156014087,1.515925217900576,1.548937129503767
d,2.15,1.4236193583956789,1.4778602051619218,1.5126963069121162
d,2.1750000000000003,1.38204673462053,1.4410826820138616,1.477655438929455
d,2.2,1.3421748425264777,1.405996620780666,1.444373886853501
d,2.225,1.3042843611609638,1.3724358681979445,1.4123013811910246
d,2.25,1.2673821559787717,1.3405101958594832,1.3814951557103825
d,2.275,1.232297986865532,1.3096783342828715,1.3522397770420356
d,2.3000000000000003,1.199111755159897,1.2805082078650782,1.3243115201986897
d,2.325,1.1668741428002505,1.2526379202916804,1.298001733831379
d,2.35,1.1364076332561273,1.2263146975421853,1.2735181348846125
d,2.375,1.107782344700196,1.2015839379129947,1.2497782150988808
d,2.4000000000000004,1.0804689232494655,1.1780673073096264,1.2274978772558385
d,2.4250000000000003,1.0550788568456126,1.1560526328784486,1.2065354536987605
d,2.45,1.0308261295791463,1.135231248365307,1.1868966864368053
